address,availability_date,construction_year,floors,current_state,habitable_area,rent,charges,energy_consumption
"1030 Schaarbeek
    
    |
    
      Adres aanvragen",01/04/2018,1930,5,Uitstekende staat,80 m2,€ 820 /maand,€ 20,""
"1080 Molenbeek-Saint-Jean
    
    |
    
      Adres aanvragen","","","",Goede staat,90 m2,€ 810 /maand,€ 90,311 kWu/m2
"1200 WOLUWE-SAINT-LAMBERT
    
    |
    
      Adres aanvragen","","",4,Goede staat,85 m2,€ 815 /maand,€ 75,""
"1080 St-Jans-Molenbeek
    
    |
    
      Adres aanvragen","","","","",100 m2,€ 810 /maand,"",131 kWu/m2
"1190 Vorst
    
    |
    
      Adres aanvragen",01/04/2010,1970,5,"","",€ 815 /maand,"",""
"Rue jean van volders 22
    
    | 1050 - Elsene","","","","","",€ 820 /maand,"",""
"1090 Jette
    
    |
    
      Adres aanvragen","",2008,3,Goede staat,82 m2,€ 830 /maand,€ 115,132 kWu/m2
"Avenue de l'Aulne 91A
    
    | 1180 - Ukkel",31/05/2018,"",4,Goede staat,90 m2,€ 820 /maand,€ 175,224 kWu/m2
"Avenue Eugene Plasky 195
    
    | 1030 - Schaarbeek","","",8,Vernieuwd,90 m2,€ 830 /maand,"",396 kWu/m2
"avenue François Sebrechts 55
    
    | 1081 - Koekelberg","",2018,6,Uitstekende staat,90 m2,€ 820 /maand,€ 90,""
"Rue des Pêcheries 101
    
    | 1160 - Oudergem","","","",Goede staat,72 m2,€ 820 /maand,€ 170,""
"1090 Jette
    
    |
    
      Adres aanvragen",20/03/2018,"",6,Goede staat,105 m2,€ 825 /maand,€ 175,190 kWu/m2
"1160 Oudergem
    
    |
    
      Adres aanvragen",01/07/2018,1950,"",Vernieuwd,90 m2,€ 825 /maand,€ 150,242 kWu/m2
"Bvd de Smet de Naeyer 162 
    bus 0
    | 1090 - Jette",01/06/2018,"",5,"",85 m2,€ 820 /maand,€ 100,""
"1090 Jette
    
    |
    
      Adres aanvragen","",2014,5,"",82 m2,€ 825 /maand,€ 80,""
"Avenue Paul Deschanel 69
    bus 3
    | 1030 - Schaarbeek",15/05/2018,"",3,Goede staat,70 m2,€ 830 /maand,"",""
"1150 Woluwe Saint Pierre
    
    |
    
      Adres aanvragen","","","",Goede staat,75 m2,€ 820 /maand,€ 170,360 kWu/m2
"1090 Jette
    
    |
    
      Adres aanvragen",01/08/2018,"","","",80 m2,€ 825 /maand,€ 90,""
"Boulevard de Smet de Naeyer 290
    
    | 1090 - Jette","","","",Vernieuwd,92 m2,€ 825 /maand,€ 50,205 kWu/m2
"1150 Woluwe-Saint-Pierre
    
    |
    
      Adres aanvragen",15/05/2018,1964,7,Uitstekende staat,80 m2,€ 825 /maand,€ 175,240 kWu/m2
"1090 Jette
    
    |
    
      Adres aanvragen",01/06/2018,"",2,Vernieuwd,70 m2,€ 820 /maand,€ 20,""
"1000 BRUXELLES
    
    |
    
      Adres aanvragen",01/06/2018,2003,4,Uitstekende staat,85 m2,€ 820 /maand,€ 140,""
"1180 Ukkel
    
    |
    
      Adres aanvragen","",1930,4,Vernieuwd,95 m2,€ 830 /maand,"",395 kWu/m2
"1070 Anderlecht
    
    |
    
      Adres aanvragen","","",2,Uitstekende staat,94 m2,€ 830 /maand,€ 75,""
"1030 Schaarbeek
    
    |
    
      Adres aanvragen","","",6,"",80 m2,€ 825 /maand,"",221 kWu/m2
"Avenue Guillaume Degreef 35
    
    | 1090 - Jette",01/07/2018,1959,5,Uitstekende staat,90 m2,€ 820 /maand,€ 160,""
"1160 Oudergem
    
    |
    
      Adres aanvragen","","","","",70 m2,€ 830 /maand,€ 60,""
"Boulevard Louis Mettewie 68,
    
    | 1080 - Molenbeek-Saint-Jean",01/05/2018,"",8,Goede staat,82 m2,€ 825 /maand,€ 85,203 kWu/m2
"place Peter Benoit 15 B
    
    | 1120 - Neder-over-Heembeek","",1994,4,Uitstekende staat,100 m2,€ 825 /maand,€ 95,""
"Leopold II Laan 61,
    
    | 1080 - Sint-Jans-Molenbeek",15/03/2018,2012,6,Goede staat,80 m2,€ 825 /maand,€ 175,143 kWu/m2
"Boulevard Louis Mettewie 70,
    
    | 1080 - Molenbeek-Saint-Jean",01/05/2018,"",8,Goede staat,92 m2,€ 820 /maand,€ 85,165 kWu/m2
"rue des Dauphins 19
    
    | 1080 - St-Jans-Molenbeek",01/06/2018,"",4,"",95 m2,€ 825 /maand,€ 90,286 kWu/m2
"Avenue du Sippelberg 6,b
    
    | 1080 - Molenbeek-Saint-Jean",15/06/2018,"",5,Goede staat,87 m2,€ 830 /maand,€ 95,123 kWu/m2
"Avenue des Tamaris 43,
    
    | 1080 - Molenbeek-Saint-Jean",01/07/2018,"",8,"",89 m2,€ 830 /maand,€ 85,160 kWu/m2
"1050 Elsene
    
    |
    
      Adres aanvragen","",1892,4,Vernieuwd,55 m2,€ 830 /maand,"",216 kWu/m2
"Avenue Heydenberg 67
    
    | 1200 - St-Lambrechts-Woluwe",30/04/2018,1960,3,Uitstekende staat,90 m2,€ 825 /maand,€ 75,150 kWu/m2
"Avenue de l'Universite 95
    
    | 1050 - Elsene",26/02/2018,"",6,Goede staat,96 m2,€ 825 /maand,"",228 kWu/m2
"1190 Vorst
    
    |
    
      Adres aanvragen","",1960,5,Vernieuwd,85 m2,€ 830 /maand,€ 180,351 kWu/m2
"av. Bourgemestre Etienne Demunter 31
    bus 4 3
    | 1090 - Jette","",2014,5,Uitstekende staat,82 m2,€ 825 /maand,€ 80,283 kWu/m2
"Tomberg 199/3
    
    | 1200 - Sint-Lambrechts-Woluwe",01/06/2018,"","","",80 m2,€ 830 /maand,€ 115,303 kWu/m2
"1040 Etterbeek
    
    |
    
      Adres aanvragen","","",5,Goede staat,65 m2,€ 825 /maand,"",""
"avenue ciceron 25
    bus 1140
    | 1140 - Evere",01/05/2018,"","",Vernieuwd,85 m2,€ 825 /maand,€ 150,""
"1040 Etterbeek
    
    |
    
      Adres aanvragen",01/07/2018,"",2,"",71 m2,€ 830 /maand,"",179 kWu/m2
"1190 Vorst
    
    |
    
      Adres aanvragen","","",9,Vernieuwd,80 m2,€ 825 /maand,€ 180,205 kWu/m2
"Avenue Henri Liebrecht 39
    
    | 1090 - Jette","","",6,Vernieuwd,85 m2,€ 830 /maand,"",""
"rue de Pologne 4
    
    | 1060 - St-Gillis",01/06/2018,"",5,Vernieuwd,75 m2,€ 820 /maand,€ 30,""
"Avenue Jean Laudy 9
    
    | 1200 - St-Lambrechts-Woluwe","","","",Goede staat,85 m2,€ 820 /maand,€ 130,""
"Square George Marlow 5
    
    | 1180 - Ukkel",01/07/2018,"",6,"",90 m2,€ 830 /maand,€ 100,""
"1030 Schaarbeek
    
    |
    
      Adres aanvragen",01/04/2018,1930,5,Uitstekende staat,80 m2,€ 820 /maand,€ 20,""
"1000 Bruxelles
    
    |
    
      Adres aanvragen","",1989,4,Uitstekende staat,95 m2,€ 825 /maand,€ 60,617 kWu/m2
"Rue Vanderkindere 522
    bus 1180
    | 1180 - Ukkel","","","",Uitstekende staat,75 m2,€ 825 /maand,€ 130,""
"1180 Ukkel
    
    |
    
      Adres aanvragen",01/05/2018,1930,3,Vernieuwd,85 m2,€ 825 /maand,"",""
"1190 Vorst
    
    |
    
      Adres aanvragen",01/07/2018,1967,5,"",85 m2,€ 830 /maand,€ 150,211 kWu/m2
"1040 Etterbeek
    
    |
    
      Adres aanvragen",01/07/2018,"",3,"",85 m2,€ 825 /maand,€ 75,168 kWu/m2
"Avenue Francois Sebrechts 58
    
    | 1081 - Koekelberg",01/05/2018,"",8,Uitstekende staat,90 m2,€ 825 /maand,"",""
"1080 Molenbeek-Saint-Jean
    
    |
    
      Adres aanvragen",15/06/2018,"",3,"",100 m2,€ 830 /maand,€ 25,""
"1040 Etterbeek
    
    |
    
      Adres aanvragen",01/05/2018,"",2,"",85 m2,€ 830 /maand,"",276 kWu/m2
"Rue jean van volders 22
    
    | 1050 - Elsene","","","","","",€ 820 /maand,"",""
"Verhoevenstraat 10
    
    | 1020 - Laeken",01/07/2018,2008,4,Uitstekende staat,73 m2,€ 840 /maand,€ 80,154 kWu/m2
"1090 Jette
    
    |
    
      Adres aanvragen","",2008,3,Goede staat,82 m2,€ 830 /maand,€ 115,132 kWu/m2
"Avenue Eugene Plasky 195
    
    | 1030 - Schaarbeek","","",8,Vernieuwd,90 m2,€ 830 /maand,"",396 kWu/m2
"Avenue Paul Deschanel 69
    bus 3
    | 1030 - Schaarbeek",15/05/2018,"",3,Goede staat,70 m2,€ 830 /maand,"",""
"1080 Molenbeek-Saint-Jean
    
    |
    
      Adres aanvragen","","",5,"",90 m2,€ 840 /maand,€ 75,""
"1180 Ukkel
    
    |
    
      Adres aanvragen","",1930,4,Vernieuwd,95 m2,€ 830 /maand,"",395 kWu/m2
"1070 Anderlecht
    
    |
    
      Adres aanvragen","","",2,Uitstekende staat,94 m2,€ 830 /maand,€ 75,""
"1040 Etterbeek
    
    |
    
      Adres aanvragen",01/07/2015,1960,3,Uitstekende staat,85 m2,€ 840 /maand,€ 100,""
"1160 Oudergem
    
    |
    
      Adres aanvragen","","","","",70 m2,€ 830 /maand,€ 60,""
"rue Eeckelaers 12/2éme ét
    
    | 1210 - St-Joost-ten-Node","","","","",90 m2,€ 840 /maand,"",""
"Avenue du Sippelberg 6,b
    
    | 1080 - Molenbeek-Saint-Jean",15/06/2018,"",5,Goede staat,87 m2,€ 830 /maand,€ 95,123 kWu/m2
"Avenue des Tamaris 43,
    
    | 1080 - Molenbeek-Saint-Jean",01/07/2018,"",8,"",89 m2,€ 830 /maand,€ 85,160 kWu/m2
"1050 Elsene
    
    |
    
      Adres aanvragen","",1892,4,Vernieuwd,55 m2,€ 830 /maand,"",216 kWu/m2
"rue de Genève 113 
    bus 0
    | 1140 - Evere","","",12,"",90 m2,€ 840 /maand,€ 150,116 kWu/m2
"1190 Vorst
    
    |
    
      Adres aanvragen","",1960,5,Vernieuwd,85 m2,€ 830 /maand,€ 180,351 kWu/m2
"Avenue des Croix de Guerre 363
    
    | 1120 - Neder-over-Heembeek",01/04/2018,"","",Vernieuwd,95 m2,€ 840 /maand,"",370 kWu/m2
"","","","","","","","",""
"1040 Etterbeek
    
    |
    
      Adres aanvragen",01/07/2018,"",2,"",71 m2,€ 830 /maand,"",179 kWu/m2
"Avenue Henri Liebrecht 39
    
    | 1090 - Jette","","",6,Vernieuwd,85 m2,€ 830 /maand,"",""
"","","","","","","","",""
"1190 Vorst
    
    |
    
      Adres aanvragen",01/07/2018,1967,5,"",85 m2,€ 830 /maand,€ 150,211 kWu/m2
"1080 Molenbeek-Saint-Jean
    
    |
    
      Adres aanvragen",15/06/2018,"",3,"",100 m2,€ 830 /maand,€ 25,""
"1040 Etterbeek
    
    |
    
      Adres aanvragen",01/05/2018,"",2,"",85 m2,€ 830 /maand,"",276 kWu/m2
"1082 Berchem-Sainte-Agathe
    
    |
    
      Adres aanvragen",14/03/2018,"",3,"",75 m2,€ 840 /maand,€ 5,278 kWu/m2
"Verhoevenstraat 10
    
    | 1020 - Laeken",01/07/2018,2008,4,Uitstekende staat,73 m2,€ 840 /maand,€ 80,154 kWu/m2
"Boulevard Louis Schmidt 41
    bus 3
    | 1040 - Etterbeek",15/01/2018,1950,7,Goede staat,93 m2,€ 850 /maand,€ 250,""
"Avenue Georges Henri 196
    
    | 1200 - Woluwe-Saint-Lambert",01/07/2018,1992,3,Uitstekende staat,80 m2,€ 850 /maand,€ 50,277 kWu/m2
"boulevard Lambermont 220 
    bus 0
    | 1030 - Schaarbeek",01/07/2018,2008,6,"",97 m2,€ 850 /maand,€ 120,133 kWu/m2
"Avenue de l'Université 19
    
    | 1050 - Elsene",01/05/2018,1975,4,Goede staat,100 m2,€ 850 /maand,€ 100,326 kWu/m2
"1150 Woluwe-Saint-Pierre
    
    |
    
      Adres aanvragen",10/04/2018,"",10,Vernieuwd,75 m2,€ 850 /maand,€ 150,122 kWu/m2
"1180 Ukkel
    
    |
    
      Adres aanvragen",01/04/2018,1974,10,Goede staat,93 m2,€ 850 /maand,€ 215,525 kWu/m2
"1040 Etterbeek
    
    |
    
      Adres aanvragen",06/03/2018,1975,7,Uitstekende staat,100 m2,€ 850 /maand,€ 250,""
"rue de Fierlant 122
    
    | 1190 - Vorst",01/06/2018,1920,4,"",85 m2,€ 850 /maand,€ 25,138 kWu/m2
"1200 Woluwe-Saint-Lambert
    
    |
    
      Adres aanvragen","",1950,4,Goede staat,90 m2,€ 850 /maand,€ 75,""
"1030 Schaarbeek
    
    |
    
      Adres aanvragen",15/06/2018,1965,7,Uitstekende staat,100 m2,€ 850 /maand,€ 200,""
"Avenue d'Oppem 8
    
    | 1150 - Woluwe-Saint-Pierre",15/06/2018,"","",Goede staat,70 m2,€ 850 /maand,"",""
"Avenue de la Sarriette 34
    
    | 1020 - LAEKEN (BRU.)","","",3,Goede staat,112 m2,€ 850 /maand,€ 85,312 kWu/m2
"rue du noyer 125
    bus 5
    | 1000 - Brussel","","",3,Vernieuwd,63 m2,€ 850 /maand,€ 15,145 kWu/m2
"1150 Woluwe-Saint-Pierre
    
    |
    
      Adres aanvragen",15/03/2018,1960,3,Uitstekende staat,90 m2,€ 850 /maand,"",""
"Bld Léopold III 13
    
    | 1030 - Schaarbeek","",1960,8,Goede staat,90 m2,€ 850 /maand,€ 150,""
"","","","","","","","",""
"1020 Laeken
    
    |
    
      Adres aanvragen",01/06/2018,"",1,Goede staat,120 m2,€ 850 /maand,€ 100,""
"1030 Schaarbeek
    
    |
    
      Adres aanvragen",01/05/2018,1960,7,"",91 m2,€ 850 /maand,"",166 kWu/m2
"Boulevard Lambermont 212
    
    | 1030 - Schaarbeek",01/07/2018,2008,7,Goede staat,100 m2,€ 850 /maand,€ 120,133 kWu/m2
"Avenue Georges Henri 196
    
    | 1200 - Woluwe-Saint-Lambert",01/07/2018,1992,3,Uitstekende staat,80 m2,€ 850 /maand,€ 50,277 kWu/m2
"1150 Woluwe-Saint-Pierre
    
    |
    
      Adres aanvragen",01/07/2018,"",7,"",75 m2,€ 850 /maand,€ 200,247 kWu/m2
"1080 MOLENBEEK-SAINT-JEAN
    
    |
    
      Adres aanvragen",01/06/2018,2005,6,Uitstekende staat,85 m2,€ 850 /maand,€ 100,170 kWu/m2
"1200 Woluwe-Saint-Lambert
    
    |
    
      Adres aanvragen","","",3,Goede staat,93 m2,€ 850 /maand,€ 160,318 kWu/m2
"","","","","","","","",""
"rue Albert de Meyer 21
    bus 0
    | 1020 - Laeken","",1930,3,Vernieuwd,70 m2,€ 850 /maand,"",""
"Avenue charles quint 353
    
    | 1083 - Ganshoren","",1970,4,Goede staat,95 m2,€ 850 /maand,€ 60,""
"rue Albert de Meyer 21
    bus 0
    | 1090 - Jette","",1930,3,Vernieuwd,70 m2,€ 850 /maand,"",""
"Ave Joseph Jongen 79
    bus 4
    | 1180 - Ukkel","",1961,2,Uitstekende staat,80 m2,€ 850 /maand,€ 85,""
"1170 Watermaal-Bosvoorde
    
    |
    
      Adres aanvragen","",1969,8,Uitstekende staat,79 m2,€ 850 /maand,€ 170,191 kWu/m2
"","","","","","","","",""
"","","","","","","","",""
"1180 Ukkel
    
    |
    
      Adres aanvragen","",1964,7,Uitstekende staat,125 m2,€ 850 /maand,€ 265,307 kWu/m2
"","","","","","","","",""
"1080 Molenbeek-Saint-Jean
    
    |
    
      Adres aanvragen",01/05/2018,2007,8,Uitstekende staat,100 m2,€ 850 /maand,€ 100,192 kWu/m2
"1160 Oudergem
    
    |
    
      Adres aanvragen","",1969,8,Uitstekende staat,79 m2,€ 850 /maand,€ 170,191 kWu/m2
"1050 Elsene
    
    |
    
      Adres aanvragen",15/04/2018,"",1,Goede staat,70 m2,€ 850 /maand,€ 108,""
"1150 ---
    
    |
    
      Adres aanvragen",26/04/2018,"",10,Uitstekende staat,75 m2,€ 850 /maand,€ 150,122 kWu/m2
"Avenue Bourgmestre Etienne Demunter 19
    bus 1.1
    | 1090 - Jette","","","","",80 m2,€ 850 /maand,€ 85,""
"1180 Ukkel
    
    |
    
      Adres aanvragen","","",6,Vernieuwd,85 m2,€ 850 /maand,€ 180,291 kWu/m2
"1080 Molenbeek-Saint-Jean
    
    |
    
      Adres aanvragen",01/05/2018,"",4,"",85 m2,€ 850 /maand,€ 160,""
"1060 St-Gilles
    
    |
    
      Adres aanvragen","","",3,Goede staat,85 m2,€ 850 /maand,€ 50,""
"1090 Jette
    
    |
    
      Adres aanvragen",01/07/2018,"",3,"",85 m2,€ 850 /maand,€ 150,17 kWu/m2
"bvd Reyers 161
    
    | 1030 - Schaarbeek","","",3,Uitstekende staat,85 m2,€ 850 /maand,€ 50,""
"1081 Koekelberg
    
    |
    
      Adres aanvragen","","","","",100 m2,€ 850 /maand,€ 125,""
"1080 Molenbeek-Saint-Jean
    
    |
    
      Adres aanvragen","","",5,"",90 m2,€ 840 /maand,€ 75,""
"1200 Woluwe-Saint-Lambert
    
    |
    
      Adres aanvragen","","",3,Uitstekende staat,80 m2,€ 850 /maand,€ 80,233 kWu/m2
"1000 Brussel
    
    |
    
      Adres aanvragen","","",11,"",86 m2,€ 850 /maand,€ 250,170 kWu/m2
"rue van soust 129
    bus 4
    | 1070 - Anderlecht","","","","",95 m2,€ 850 /maand,€ 150,""
"","","","","","","","",""
"1030 Schaarbeek
    
    |
    
      Adres aanvragen","","","","",80 m2,€ 850 /maand,€ 150,102 kWu/m2
"","","","","","","","",""
"Edmond Machtenslaan 157 23
    
    | 1080 - Sint-Jans-Molenbeek","",1970,"",Goede staat,100 m2,€ 850 /maand,"",264 kWu/m2
"","","","","","","","",""
"Burgemeester Etienne De Munterlaan 33
    bus 1.2
    | 1090 - Jette",13/05/2018,2014,6,"",83 m2,€ 850 /maand,€ 50,""
"","","","","","","","",""
"Chaussée de Drogenbos 187
    
    | 1180 - Ukkel",15/04/2018,2016,3,Uitstekende staat,90 m2,€ 850 /maand,€ 150,93 kWu/m2
"rue des Palais 29
    
    | 1030 - Schaarbeek",31/03/2018,2013,7,Uitstekende staat,87 m2,€ 845 /maand,€ 90,145 kWu/m2
"Place Adolphe Sax 5
    
    | 1050 - Elsene",01/03/2018,"","",Uitstekende staat,81 m2,€ 850 /maand,"",101 kWu/m2
"Tulpenlaan 11 B6
    
    | 1070 - Anderlecht","",2017,"",Goede staat,"",€ 850 /maand,"",""
"Avenue des Champs 112
    
    | 1040 - Etterbeek",01/05/2018,"",3,Vernieuwd,73 m2,€ 850 /maand,€ 50,273 kWu/m2
"1000 BRUXELLES
    
    |
    
      Adres aanvragen","","",3,Goede staat,95 m2,€ 850 /maand,€ 50,166 kWu/m2
"Boulevard Louis Schmidt 41
    
    | 1040 - Etterbeek",01/04/2018,"",7,Uitstekende staat,93 m2,€ 850 /maand,€ 250,240 kWu/m2
"Boulevard Louis Schmidt 41
    
    | 1040 - Etterbeek",01/04/2018,"",7,Uitstekende staat,93 m2,€ 850 /maand,€ 250,240 kWu/m2
"Avenue de Jette 179
    
    | 1090 - Jette",01/02/2018,"",3,Uitstekende staat,87 m2,€ 850 /maand,"",201 kWu/m2
"1090 Jette
    
    |
    
      Adres aanvragen",01/06/2018,"",2,Vernieuwd,70 m2,€ 850 /maand,€ 20,""
"Avenue de Jette 179
    
    | 1090 - Jette",01/06/2016,"",3,Uitstekende staat,87 m2,€ 850 /maand,"",266 kWu/m2
"","","","","","","","",""
"Place houwaert 16
    
    | 1210 - St-Joost-ten-Node",01/03/2018,"",3,"",82 m2,€ 850 /maand,€ 15,209 kWu/m2
"Drève de Nivelles 174
    
    | 1150 - St-Pieters-Woluwe","","",10,"",75 m2,€ 850 /maand,€ 150,122 kWu/m2
"avenue jean baptiste depair 49
    
    | 1020 - Laeken","",1930,"","",70 m2,€ 850 /maand,€ 35,""
"1040 Etterbeek
    
    |
    
      Adres aanvragen",01/07/2015,1960,3,Uitstekende staat,85 m2,€ 840 /maand,€ 100,""
"Rue Maurice-Albert Raskin 31
    
    | 1070 - Anderlecht","","","","",85 m2,€ 850 /maand,"",""
"1120 Neder-over-Heembeek
    
    |
    
      Adres aanvragen",01/04/2018,2018,3,"",95 m2,€ 850 /maand,€ 110,""
"1000 BRUXELLES
    
    |
    
      Adres aanvragen","","",10,"",95 m2,€ 850 /maand,€ 200,""
"1140 Evere
    
    |
    
      Adres aanvragen",01/05/2018,1980,7,"",85 m2,€ 850 /maand,€ 150,169 kWu/m2
"","","","","","","","",""
"1190 Vorst
    
    |
    
      Adres aanvragen",08/07/2018,"","",Vernieuwd,85 m2,€ 850 /maand,€ 150,""
"1120 Neder-over-Heembeek
    
    |
    
      Adres aanvragen",01/04/2018,2018,3,"",95 m2,€ 850 /maand,€ 110,""
"1150 SINT-PIETERS-WOLUWE
    
    |
    
      Adres aanvragen","","",6,"",75 m2,€ 850 /maand,€ 160,262 kWu/m2
"1050 Elsene
    
    |
    
      Adres aanvragen","","",4,"",75 m2,€ 850 /maand,€ 120,320 kWu/m2
"","","","","","","","",""
"1040 Etterbeek
    
    |
    
      Adres aanvragen",01/07/2018,"",3,"",65 m2,€ 850 /maand,€ 50,""
"1040 Etterbeek
    
    |
    
      Adres aanvragen",01/05/2018,"",7,"",93 m2,€ 850 /maand,€ 250,""
"rue Eeckelaers 12/2éme ét
    
    | 1210 - St-Joost-ten-Node","","","","",90 m2,€ 840 /maand,"",""
"1050 Elsene
    
    |
    
      Adres aanvragen","",1950,5,"",80 m2,€ 850 /maand,€ 150,""
"1170 Watermaal-Bosvoorde
    
    |
    
      Adres aanvragen","","","","",82 m2,€ 850 /maand,€ 180,""
"","","","","","","","",""
"1040 Etterbeek
    
    |
    
      Adres aanvragen","","",7,"",85 m2,€ 850 /maand,€ 250,""
"1050 Elsene
    
    |
    
      Adres aanvragen","",1958,7,"",75 m2,€ 850 /maand,€ 150,597 kWu/m2
"1140 Evere
    
    |
    
      Adres aanvragen",01/06/2018,"","","",75 m2,€ 850 /maand,€ 150,185 kWu/m2
"1060 St-Gillis
    
    |
    
      Adres aanvragen","","","",Vernieuwd,115 m2,€ 850 /maand,"",""
"Avenue le Marinel 21
    
    | 1040 - Etterbeek",01/05/2018,1975,3,Goede staat,80 m2,€ 850 /maand,€ 75,208 kWu/m2
"Lakensestraat 157
    
    | 1000 - Brussel","",2018,"",Uitstekende staat,76 m2,€ 850 /maand,€ 95,""
"Terhulpsesteenweg 114
    
    | 1000 - Brussel","",2006,"",Goede staat,85 m2,€ 850 /maand,€ 250,172 kWu/m2
"Oudstrijderslaan 75B
    
    | 1140 - Evere","","",6,Uitstekende staat,81 m2,€ 850 /maand,"",213 kWu/m2
"Leopold II Laan 61,
    
    | 1080 - Sint-Jans-Molenbeek",01/06/2018,2012,6,Goede staat,70 m2,€ 850 /maand,€ 85,170 kWu/m2
"Boulevard Albert II 43,
    
    | 1030 - Schaarbeek",01/07/2018,"",5,Goede staat,93 m2,€ 845 /maand,€ 85,211 kWu/m2
"1050 Elsene
    
    |
    
      Adres aanvragen",01/05/2018,1955,4,Goede staat,105 m2,€ 850 /maand,€ 150,291 kWu/m2
"Boulevard Albert II 51,
    
    | 1030 - Schaarbeek",01/07/2018,"","",Goede staat,93 m2,€ 850 /maand,€ 85,169 kWu/m2
"Boulevard Louis Mettewie 70,
    
    | 1080 - Molenbeek-Saint-Jean",01/06/2018,"",8,Goede staat,92 m2,€ 845 /maand,€ 85,161 kWu/m2
"Wemmelse Steenweg 171
    
    | 1090 - Jette",01/05/2018,"",2,Goede staat,90 m2,€ 845 /maand,€ 15,308 kWu/m2
"Burgemeester Etienne Demunterlaan 35
    
    | 1090 - Jette",01/07/2018,2014,6,Uitstekende staat,85 m2,€ 850 /maand,€ 75,60 kWu/m2
"Avenue des Croix de Guerre 128
    
    | 1120 - NEDER-OVER-HEEMBEEK (BRU.)","",1970,4,Vernieuwd,85 m2,€ 850 /maand,€ 35,""
"","","","","","","","",""
"Rue de l'Intendant 80,
    
    | 1080 - Molenbeek-Saint-Jean","",2012,6,Goede staat,103 m2,€ 850 /maand,€ 170,199 kWu/m2
"Avenue Adolphe Buyl 126
    
    | 1050 - Elsene",28/02/2018,1960,5,Goede staat,75 m2,€ 850 /maand,€ 150,""
"Avenue François Sebrechts 63,
    
    | 1080 - Molenbeek-Saint-Jean",01/05/2018,"",8,Goede staat,92 m2,€ 845 /maand,€ 85,188 kWu/m2
"","","","","","","","",""
"Rue des Soldats 50,
    
    | 1082 - Berchem-Sainte-Agathe",01/05/2018,"","",Goede staat,89 m2,€ 850 /maand,€ 85,411 kWu/m2
"Avenue de l'Exposition Universelle 9,10
    
    | 1083 - Ganshoren",01/06/2018,1970,7,Vernieuwd,80 m2,€ 850 /maand,€ 150,198 kWu/m2
"rue de Genève 113 
    bus 0
    | 1140 - Evere","","",12,"",90 m2,€ 840 /maand,€ 150,116 kWu/m2
"Avenue Gabriel Emile Lebon 27
    
    | 1160 - Auderghem","",1970,"",Goede staat,94 m2,€ 850 /maand,€ 50,572 kWu/m2
"Avenue des Croix de Guerre 363
    
    | 1120 - Neder-over-Heembeek",01/04/2018,"","",Vernieuwd,95 m2,€ 840 /maand,"",370 kWu/m2
"","","","","","","","",""
"Avenue du Prince Héritier 189
    bus 7
    | 1200 - St-Lambrechts-Woluwe",01/05/2018,"",3,Goede staat,90 m2,€ 850 /maand,€ 150,""
"Avenue de Broqueville 235/15
    
    | 1200 - Sint-Lambrechts-Woluwe",09/06/2018,"","",Goede staat,92 m2,€ 850 /maand,€ 150,203 kWu/m2
"","","","","","","","",""
"","","","","","","","",""
"Rue Gaucheret 6
    
    | 1030 - Schaarbeek","","","",Uitstekende staat,95 m2,€ 850 /maand,"",161 kWu/m2
"1082 SINT-AGATHA-BERCHEM
    
    |
    
      Adres aanvragen",01/04/2018,"",3,Uitstekende staat,82 m2,€ 850 /maand,"",""
"Avenue de Broqueville 235/12
    
    | 1200 - Sint-Lambrechts-Woluwe",01/06/2018,"","",Goede staat,92 m2,€ 850 /maand,€ 225,""
"Avenue Général Molitor 1
    
    | 1040 - Etterbeek",01/04/2018,"",3,Goede staat,62 m2,€ 850 /maand,€ 110,344 kWu/m2
"avenue Alexandre Bertrand 65
    
    | 1190 - Vorst","","","",Uitstekende staat,90 m2,€ 850 /maand,€ 150,""
"Avenue du couronnement 105
    bus 2
    | 1200 - St-Lambrechts-Woluwe",01/05/2018,"",4,"",60 m2,€ 850 /maand,€ 110,""
"1020 Laeken
    
    |
    
      Adres aanvragen","",1950,3,Goede staat,96 m2,€ 850 /maand,€ 100,389 kWu/m2
"Steenweg op Gent 1
    
    | 1080 - St-Jans-Molenbeek","","","",Vernieuwd,95 m2,€ 850 /maand,€ 95,""
"","","","","","","","",""
"Avenue De Fré 110
    bus 9
    | 1180 - Ukkel","","",3,Uitstekende staat,72 m2,€ 850 /maand,€ 125,307 kWu/m2
"1040 Etterbeek
    
    |
    
      Adres aanvragen",31/03/2018,"",2,"",85 m2,€ 850 /maand,€ 30,""
"Boulevard Louis Mettewie 62,
    
    | 1080 - Molenbeek-Saint-Jean","","",8,Goede staat,107 m2,€ 850 /maand,€ 165,175 kWu/m2
"1180 Ukkel
    
    |
    
      Adres aanvragen",01/07/2018,"",4,"",75 m2,€ 850 /maand,€ 150,254 kWu/m2
"1150 Woluwe-Saint-Pierre
    
    |
    
      Adres aanvragen","",1965,8,Vernieuwd,85 m2,€ 850 /maand,€ 150,182 kWu/m2
"square de Léopoldville 16
    
    | 1040 - Etterbeek",01/05/2018,1938,"","",75 m2,€ 850 /maand,€ 150,""
"1070 Anderlecht
    
    |
    
      Adres aanvragen","",1930,3,Goede staat,100 m2,€ 850 /maand,€ 5,""
"Roodebeeksteenweg 477
    
    | 1200 - St-Lambrechts-Woluwe","","","","","",€ 850 /maand,"",""
"","","","","","","","",""
